posted_date,new_cases,new_tests,new_deaths,new_deaths_calcat
2020-01-01,0,3,0,0
2020-01-04,0,2,0,0
2020-01-05,0,1,0,0
2020-01-06,0,1,0,0
2020-01-07,14,270,0,0
2020-01-08,0,1,0,0
2020-01-09,0,1,0,0
2020-01-13,0,1,0,0
2020-01-24,0,1,0,0
2020-01-26,0,2,0,0
2020-01-29,0,1,0,0
2020-01-31,0,1,0,0
2020-02-05,1,1,0,0
2020-02-06,1,1,0,0
2020-02-07,61,434,0,0
2020-02-08,0,1,0,0
2020-02-09,1,2,0,0
2020-02-13,0,1,0,0
2020-02-20,1,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-25,0,1,0,0
2020-02-27,0,3,0,0
2020-02-28,0,4,0,0
2020-02-29,0,6,0,0
2020-03-01,0,2,0,0
2020-03-02,2,6,0,0
2020-03-03,0,3,0,0
2020-03-04,1,21,0,0
2020-03-05,0,15,0,0
2020-03-06,0,18,0,0
2020-03-07,17,245,0,0
2020-03-08,0,7,0,0
2020-03-09,4,40,0,0
2020-03-10,6,53,0,0
2020-03-11,4,65,0,0
2020-03-12,8,168,0,0
2020-03-13,23,250,0,0
2020-03-14,11,183,0,0
2020-03-15,11,181,0,0
2020-03-16,33,521,0,0
2020-03-17,39,577,0,0
2020-03-18,26,544,0,0
2020-03-19,45,526,1,0
2020-03-20,48,717,0,0
2020-03-21,16,238,0,0
2020-03-22,22,205,1,0
2020-03-23,55,658,0,0
2020-03-24,58,600,0,1
2020-03-25,52,483,0,0
2020-03-26,48,480,1,0
2020-03-27,55,571,1,2
2020-03-28,50,343,3,1
2020-03-29,32,225,0,0
2020-03-30,50,705,1,0
2020-03-31,71,651,4,3
2020-04-01,71,819,1,3
2020-04-02,49,633,1,2
2020-04-03,57,693,2,0
2020-04-04,29,331,0,1
2020-04-05,27,245,1,0
2020-04-06,45,653,0,0
2020-04-07,57,673,1,1
2020-04-08,67,648,2,2
2020-04-09,63,583,0,0
2020-04-10,50,713,3,0
2020-04-11,22,327,0,1
2020-04-12,12,213,0,1
2020-04-13,49,693,3,0
2020-04-14,45,641,2,0
2020-04-15,102,905,3,3
2020-04-16,61,724,3,3
2020-04-17,68,836,1,3
2020-04-18,35,529,1,4
2020-04-19,20,326,1,0
2020-04-20,57,963,0,1
2020-04-21,59,951,4,0
2020-04-22,125,1124,2,1
2020-04-23,75,1274,4,2
2020-04-24,96,1408,1,0
2020-04-25,59,712,0,2
2020-04-26,45,534,3,1
2020-04-27,140,1532,1,0
2020-04-28,159,1773,4,3
2020-04-29,112,1746,4,2
2020-04-30,122,1555,2,1
2020-05-01,112,2494,6,5
2020-05-02,53,1068,5,2
2020-05-03,60,756,3,0
2020-05-04,154,1994,3,5
2020-05-05,106,1976,3,4
2020-05-06,175,2117,7,4
2020-05-07,147,2080,7,1
2020-05-08,185,2580,2,5
2020-05-09,81,1078,7,3
2020-05-10,40,964,2,2
2020-05-11,133,2537,4,0
2020-05-12,124,2469,0,1
2020-05-13,136,2504,2,3
2020-05-14,120,1773,6,0
2020-05-15,166,2310,4,4
2020-05-16,111,1308,2,2
2020-05-17,50,920,7,2
2020-05-18,196,3031,9,0
2020-05-19,148,2958,2,0
2020-05-20,190,3630,9,10
2020-05-21,169,3302,6,14
2020-05-22,162,3602,5,6
2020-05-23,101,1629,8,9
2020-05-24,78,1443,4,1
2020-05-25,70,1271,5,0
2020-05-26,253,4388,10,0
2020-05-27,210,4203,2,5
2020-05-28,236,4184,8,6
2020-05-29,165,3895,6,3
2020-05-30,124,1918,6,1
2020-05-31,104,1515,8,1
2020-06-01,186,3477,12,0
2020-06-02,216,5167,9,3
2020-06-03,228,4588,4,9
2020-06-04,219,4263,5,6
2020-06-05,216,4244,6,9
2020-06-06,142,2425,4,2
2020-06-07,115,1897,10,1
2020-06-08,239,4316,11,0
2020-06-09,220,5452,10,8
2020-06-10,263,5378,6,14
2020-06-11,299,4949,6,3
2020-06-12,276,4463,9,8
2020-06-13,218,2509,6,7
2020-06-14,134,1585,6,4
2020-06-15,354,5067,7,0
2020-06-16,567,6407,5,11
2020-06-17,543,6003,5,10
2020-06-18,635,6218,9,5
2020-06-19,668,6280,11,7
2020-06-20,456,3514,6,10
2020-06-21,269,1968,6,2
2020-06-22,848,6766,14,0
2020-06-23,996,7559,8,4
2020-06-24,1025,8182,16,26
2020-06-25,989,7426,8,8
2020-06-26,971,7469,8,21
